model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
deberta-base,CLS+AVG+SUM_SUM-1-2,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(77.18), 'acc': np.float64(77.26), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.16), 'acc': np.float64(78.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.17), 'acc': np.float64(91.77), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.51), 'acc': np.float64(88.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.49), 'acc': 82.37, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.66), 'acc': 87.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.24), 'acc': 71.3, 'f1': 79.42, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+MAX_SUM-1-2,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.02), 'acc': np.float64(76.42), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.25), 'acc': np.float64(77.06), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.1), 'acc': np.float64(91.48), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.42), 'acc': np.float64(87.97), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.42), 'acc': 81.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.55), 'acc': 87.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.01), 'acc': 68.41, 'f1': 76.6, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+AVG-NS_SUM-1-2,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(77.48), 'acc': np.float64(77.65), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.34), 'acc': np.float64(80.64), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.76), 'acc': np.float64(92.99), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.27), 'acc': np.float64(88.51), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.14), 'acc': 83.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.29), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.23), 'acc': 73.04, 'f1': 80.54, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+SUM-NS_SUM-1-2,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.91), 'acc': np.float64(77.12), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.96), 'acc': np.float64(77.75), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.17), 'acc': np.float64(91.62), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.54), 'acc': np.float64(87.89), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.0), 'acc': 82.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.73), 'acc': 88.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.53), 'acc': 70.78, 'f1': 78.95, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+AVG+MAX-NS_SUM-1-2,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.08), 'acc': np.float64(76.51), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(62.7), 'acc': np.float64(65.08), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.21), 'acc': np.float64(91.47), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(57.69), 'acc': np.float64(72.41), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.85), 'acc': 81.6, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.57), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.72), 'acc': 68.29, 'f1': 76.25, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM+MAX_SUM-1-2,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.82), 'acc': np.float64(76.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.11), 'acc': np.float64(77.33), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.95), 'acc': np.float64(91.28), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.52), 'acc': np.float64(86.88), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.8), 'acc': 81.38, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.52), 'acc': 89.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.22), 'acc': 70.55, 'f1': 79.28, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM+AVG-NS_SUM-1-2,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(77.2), 'acc': np.float64(77.22), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.19), 'acc': np.float64(77.59), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.16), 'acc': np.float64(91.67), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.75), 'acc': np.float64(86.94), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 82.59, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.57), 'acc': 88.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.44), 'acc': 71.07, 'f1': 79.27, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM+SUM-NS_SUM-1-2,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(77.0), 'acc': np.float64(77.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.24), 'acc': np.float64(77.8), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.95), 'acc': np.float64(91.48), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.54), 'acc': np.float64(87.65), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.68), 'acc': 82.87, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(81.62), 'acc': 89.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.68), 'acc': 70.67, 'f1': 78.92, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+SUM+MAX-NS_SUM-1-2,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.75), 'acc': np.float64(76.85), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(73.06), 'acc': np.float64(71.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(90.9), 'acc': np.float64(91.46), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(75.55), 'acc': np.float64(79.29), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 81.93, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(82.87), 'acc': 89.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.51), 'acc': 71.01, 'f1': 79.97, 'ndev': 4076, 'ntest': 1725}"
deberta-base,CLS+MAX+AVG-NS_SUM-1-2,"torch.Size([61, 2304])",NORMAL,4,0,12,"{'devacc': np.float64(76.07), 'acc': np.float64(76.38), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.3), 'acc': np.float64(77.22), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.16), 'acc': np.float64(91.32), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.54), 'acc': np.float64(86.92), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.19), 'acc': 80.07, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.02), 'acc': 88.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.94), 'acc': 68.7, 'f1': 76.52, 'ndev': 4076, 'ntest': 1725}"
